symbol,train_pnl_pct,test_pnl_pct,trades,win_rate,max_drawdown,sharpe,min_price,max_price,grid_levels,sell_pct
HIVEUSDC,5.4441,1.2987,21,1.0,0.055182,0.8116,0.068,0.0768,5,2.0
BNBUSDC,2.4012,1.29,16,1.0,0.028807,0.8501,596.98,642.21,10,3.0
OSMOUSDC,3.2527,1.2755,14,1.0,0.024615,0.8687,0.0366,0.0387,5,2.0
POLUSDC,4.0455,1.271,12,1.0,0.03972,0.7905,0.0888,0.096,5,3.0
DYDXUSDC,2.1916,1.2573,23,1.0,0.055782,0.4477,0.0969,0.1122,15,3.0
1000SATSUSDC,3.9303,1.2553,19,1.0,0.020064,1.2931,1.14e-05,1.181e-05,5,2.0
SNXUSDC,4.4458,1.2509,13,1.0,0.025181,1.2104,0.273,0.294,5,3.0
FUSDC,49.9222,1.2471,25,1.0,0.072052,1.7183,0.00562,0.00635,5,2.0
SOPHUSDC,8.2102,1.2463,13,1.0,0.100736,0.7984,0.00917,0.01024,5,5.0
DOTUSDC,3.2127,1.2395,32,1.0,0.044195,0.6882,1.24,1.347,15,3.0
QNTUSDC,5.9225,1.2345,44,1.0,0.022099,1.2745,65.71,69.49,5,1.0
BCHUSDC,5.6472,1.2341,29,1.0,0.024546,1.2454,515.1,527.4,5,2.0
CETUSUSDC,3.0078,1.2317,24,1.0,0.054652,0.5697,0.01499,0.01643,15,3.0
XRPUSDC,4.2103,1.2295,38,1.0,0.026191,0.893,1.366,1.4384,5,1.0
FETUSDC,3.7043,1.2262,37,1.0,0.023413,1.0606,0.1523,0.164,10,1.0
INITUSDC,12.5222,1.2195,33,1.0,0.035297,1.581,0.0658,0.0694,5,3.0
COOKIEUSDC,4.4333,1.2167,18,1.0,0.050418,0.7023,0.0186,0.0204,10,3.0
LINKUSDC,4.2695,1.2152,34,1.0,0.02367,1.0239,8.27,8.86,5,1.0
BARDUSDC,2.4105,1.2149,15,1.0,0.032379,0.5307,0.7717,0.8284,5,3.0
TUTUSDC,5.9001,1.2075,27,1.0,0.057332,0.9166,0.00995,0.01088,15,5.0
HMSTRUSDC,4.877,1.1952,19,1.0,0.032967,0.8412,0.0001698,0.0001762,5,2.0
SXTUSDC,2.6271,1.1935,11,1.0,0.015232,0.8478,0.0226,0.0236,5,2.0
SYNUSDC,-0.5611,1.1859,18,1.0,0.056211,-0.0933,0.0479,0.0599,10,2.0
TOWNSUSDC,1.94,1.1855,17,1.0,0.047574,0.3851,0.00377,0.00443,10,3.0
ZENUSDC,5.8277,1.1769,25,1.0,0.03193,1.4288,5.849,6.017,5,2.0
LISTAUSDC,4.2787,1.1709,17,1.0,0.033927,0.9246,0.0905,0.0984,5,2.0
HAEDALUSDC,6.3706,1.1634,18,1.0,0.058605,0.8142,0.0257,0.0269,10,5.0
APEUSDC,4.592,1.1584,12,1.0,0.035986,0.9699,0.1212,0.1293,5,3.0
AEVOUSDC,3.3766,1.1574,15,1.0,0.021575,0.9696,0.0251,0.0298,5,1.0
RAREUSDC,7.2667,1.1547,43,1.0,0.015677,1.5733,0.0195,0.0202,5,1.0
TWTUSDC,7.6525,1.1477,26,1.0,0.102771,1.013,0.4507,0.5443,15,5.0
KERNELUSDC,10.9807,1.1474,17,1.0,0.143692,0.7898,0.052,0.0645,5,5.0
SPKUSDC,5.7636,1.1373,47,1.0,0.037782,1.0705,0.021241,0.022281,5,1.0
TUSDC,4.453,1.1273,6,1.0,0.029572,0.83,0.00682,0.00718,5,5.0
HBARUSDC,7.2087,1.1201,30,1.0,0.04244,1.1064,0.08802,0.09166,5,2.0
RVNUSDC,5.8557,1.0841,16,1.0,0.048561,0.8547,0.00553,0.00595,10,5.0
MOVEUSDC,9.9718,1.0803,12,1.0,0.096845,0.8342,0.0212,0.0234,5,5.0
SSVUSDC,5.0312,1.079,27,1.0,0.019938,1.6049,3.031,3.228,10,3.0
BLURUSDC,6.6306,1.0702,19,1.0,0.039958,1.0695,0.0191,0.02058,10,5.0
SIGNUSDC,2.5823,1.0644,25,1.0,0.039754,0.3404,0.02663,0.02862,15,3.0
CAKEUSDC,3.1412,1.0635,23,1.0,0.027684,1.1091,1.282,1.369,5,1.0
USUALUSDC,4.0944,1.0583,22,1.0,0.06189,0.5217,0.01422,0.01533,15,5.0
NXPCUSDC,3.5498,1.0574,22,1.0,0.077005,0.6414,0.2521,0.2905,15,5.0
MUBARAKUSDC,17.6867,1.033,25,1.0,0.05636,1.3648,0.01356,0.01415,5,5.0
THETAUSDC,9.3297,1.0269,14,1.0,0.06101,0.8707,0.195,0.208,5,5.0
ARBUSDC,3.4975,1.0264,31,1.0,0.033698,0.8472,0.107,0.1178,15,3.0
SAPIENUSDC,7.231,1.0228,54,1.0,0.062483,1.0009,0.0813,0.0832,5,1.0
ACHUSDC,7.1397,1.0042,13,1.0,0.033902,1.0371,0.00731,0.00773,5,5.0
NMRUSDC,5.0346,0.9945,21,1.0,0.067929,0.6866,7.92,8.7,15,5.0
LSKUSDC,11.3152,0.9911,17,1.0,0.052005,1.2892,0.129,0.139,5,5.0
BBUSDC,5.7623,0.9819,17,1.0,0.067357,0.7815,0.0297,0.0332,10,5.0
HOLOUSDC,5.2773,0.9709,8,1.0,0.052222,0.746,0.0566,0.0604,5,5.0
PAXGUSDC,1.6218,0.9696,15,1.0,0.005878,1.4646,4953.23,5063.44,5,1.0
HUMAUSDC,3.6077,0.9562,23,1.0,0.034106,0.6796,0.01274,0.01367,15,5.0
ETHUSDC,3.8768,0.9449,34,1.0,0.026562,0.9123,1964.02,2089.34,5,1.0
DASHUSDC,5.607,0.9442,55,1.0,0.02227,1.2931,34.69,36.64,10,2.0
ZECUSDC,10.174,0.8937,82,1.0,0.058295,1.2557,234.05,240.76,5,1.0
MMTUSDC,5.0626,0.8698,24,1.0,0.059166,0.6765,0.1213,0.132,15,5.0
EIGENUSDC,3.4629,0.8675,21,1.0,0.022701,0.8379,0.194,0.213,10,2.0
ENJUSDC,4.6907,0.8657,35,1.0,0.0584,0.7055,0.02193,0.02304,5,1.0
ADAUSDC,4.0484,0.8355,33,1.0,0.024613,1.3567,0.2619,0.2713,5,1.0
ATUSDC,2.272,0.8134,20,1.0,0.022182,0.6623,0.1585,0.1621,5,1.0
LUNCUSDC,2.1811,0.8057,19,1.0,0.012276,1.029,3.347e-05,3.549e-05,5,1.0
2ZUSDC,1.2949,0.7528,19,1.0,0.037137,0.3089,0.07446,0.09146,10,1.0
APTUSDC,1.3213,0.7282,15,1.0,0.021364,0.4946,0.935,1.089,5,1.0
HYPERUSDC,6.0536,0.6967,19,1.0,0.059062,0.8293,0.0955,0.0991,5,3.0
RESOLVUSDC,5.4073,0.6833,21,1.0,0.078198,0.5372,0.0609,0.0863,5,3.0
API3USDC,7.7276,0.6713,26,1.0,0.041988,1.1443,0.3146,0.3424,5,3.0
IDEXUSDC,6.0246,0.6565,16,1.0,0.05615,0.7922,0.0067,0.00759,10,5.0
ALLOUSDC,16.8806,0.6223,41,1.0,0.052418,1.8926,0.0557,0.0768,5,3.0
